	DEFB1	FFAR2	IL-10	IL-17	IL-22	IL-1B	IL-6	MUC2	PR39	TGFB
67	1.681802571	-0.529045	-0.769648	-1.022769143	-0.189045071	-1.0182515	-0.174246357	-0.501369786	-2.232642643	-0.641546714
68	-0.644828929	0.9674735	0.014087	0.459374857	0.891175429	-0.930463	0.153338643	1.097223214	0.384275857	-0.100873714
69	-1.002391929	0.932072	-1.5567605	-1.226239143	-1.461832071	-1.509234	-1.011115357	-0.231414786	3.810573357	-0.595473214
70	-0.378977929	-1.7445185	-0.281416	0.475084857	-0.204577071	-0.3257115	-1.325072857	-0.455840786	-1.137211643	-0.854872714
71	1.709733071	-0.714191	1.215202	1.516845857	0.248418429	0.8512675	0.942476643	-0.563847286	-0.971396143	0.735661786
72	1.197983071	1.8830695	0.6526075	-0.138577143	-0.925925571	1.199826	0.225754143	1.335180214	2.932641857	1.134531286
73	-2.563319929	-0.7948605	0.725928	-0.063720143	1.641785929	1.7325665	1.188865143	-0.679930786	-2.786240643	0.322573286
74	0.889461071	0.421608	0.6577205	-0.173541143	1.814419429	1.5422445	1.659637143	2.810694214	-1.211839143	0.991187286
75	3.050668071	1.626133	-0.5746955	1.045295857	0.497928929	-0.644863	0.859743643	1.785515714	3.647218857	-1.597496214
76	2.831525071	0.876129	-0.3337385	-0.213617643	-1.395624071	-1.3165985	0.640377143	1.341464714	-0.909490643	0.446578786
77	1.672825571	-0.248728	0.8671895	0.730744857	-0.661307071	-0.518092	0.836015143	1.052292214	-2.192171643	0.358732286
78	1.518601571	-0.193103	-0.6522495	-0.828818143	-1.543808071	-0.1114635	1.243413143	0.231119714	-0.085339143	0.148948786
79	2.075024071	0.115673	-0.102069	-1.489687143	-0.140376571	-0.0873985	0.268977143	1.574603714	3.315216857	-0.206538214
80	-1.573841429	-0.259611	-1.3202005	-0.006096643	-0.509699571	0.9900715	2.742915643	-0.484199286	-1.650520143	0.075730286
