pig_num	ACTb	DEFb1	FFAR	IL-10	IL-17	IL-22	IL1b	IL6	MUC2	PR39	RPL18	TGF-beta
67	20.248453	32.482147	31.950134	32.319584	34.41058	31.645042	32.668167	34.24015	31.90024	38.565544	19.571089	27.78062
67	20.773092	32.271103	32.389893	31.809221	34.49937	31.943293	32.864616	34.570156	32.140278	36.270836	19.367056	27.557875
68	21.505136	36.543026	32.23065	32.1258	33.446033	31.869308	33.499077	35.198414	31.650604	36.43921	20.217022	28.42311
68	21.6295	34.976578	31.229431	32.548626	34.61272	31.671677	33.97122	35.069813	31.305819	35.276424	19.95229	27.94713
69	20.91129	35.784107	31.369743	33.721413	35.998325	33.871044	34.102848	36.153973	32.53523	32.16763	20.53919	28.355896
69	21.55683	35.7	31.494625	33.428192	34.76514	33.70944	33.858475	35.776646	32.411953	32.028893	20.014812	28.337027
70	20.085407	33.833588	32.831886	31.340261	32.956917	31.385084	31.750645	35.520584	31.472368	35.209343	19.574743	27.632917
70	20.261763	34.366848	33.264713	31.137705	32.28295	31.55994	31.722683	34.917	31.802717	36.7618	19.37247	27.457855
71	20.976917	32.86644	32.81302	30.599022	32.735607	31.91482	31.302906	33.993767	32.66492	36.549557	19.899668	26.848692
71	21.105055	32.891376	32.957726	30.62051	32.15554	31.859015	31.551266	33.64352	32.56098	36.824757	19.817516	26.795813
72	21.60923	33.813763	30.832682	31.858807	34.76528	33.73678	31.577877	35.339626	31.272709	33.148815	20.386858	27.21871
72	21.825819	34.32063	31.09662	31.838991	34.78979	33.73882	31.932255	35.084183	31.508213	33.7705	20.27765	26.981133
73	20.881002	36.886112	32.821724	31.178183	34.588776	30.668354	30.502686	33.811604	32.609528	37.891304	20.360579	27.266966
73	21.183104	37.399944	33.092495	31.002031	33.445637	30.30088	30.571022	33.31504	32.830673	39.094833	20.136154	27.18585
74	21.96265	34.425182	32.99947	32.217617	35.48735	31.479305	31.814827	33.879524	30.42899	37.622204	20.87192	27.661877
74	22.259434	35.11329	32.63979	32.25699	34.924683	31.30264	31.797503	34.463554	30.187939	38.373108	20.800673	27.611689
75	25.101006	34.627514	35.019615	36.292263	36.99885	36.236877	36.98831	39.013496	34.008747	35.125107	25.161768	33.281536
75	25.146479	36.613945	34.235996	36.672577	36.99988	35.20345	37.023636	36.95477	34.68394	37.17749	24.859493	33.194798
76	22.419132	33.347836	32.756966	33.734383	36.392014	34.92587	34.76819	35.58859	32.32055	37.57893	20.812984	28.556175
76	22.67047	33.174026	32.84077	33.59066	34.96769	35.14368	35.429344	35.660526	32.102356	38.679203	20.73358	28.674126
77	21.535929	32.958668	33.036747	31.398514	33.376232	33.252533	33.306538	34.326237	31.395851	38.4	19.939108	27.718561
77	21.61785	33.94477	32.87488	31.58885	34.158924	33.41256	33.35816	34.59578	31.669577	38.443836	19.71104	27.75161
78	21.446625	33.69858	33.390396	33.117714	35.744465	34.19937	33.008316	34.21536	32.460102	37.107143	20.073706	28.228634
78	21.953053	33.759205	32.65588	33.154427	35.155716	34.476624	33.089024	34.13776	32.49357	35.812763	20.157873	27.907003
79	22.091166	33.7152	33.187134	33.428196	37.069645	33.993233	33.335796	35.30648	31.50809	33.05881	20.93143	28.986847
79	22.292168	33.613396	33.225246	32.72724	36.13593	32.859554	33.69707	35.979168	31.74227	34.04364	20.734518	28.84342
80	20.471182	36.00091	31.998194	32.576065	33.33778	32.48512	30.775042	31.801435	31.959667	37.63972	20.10886	27.000463
80	20.535938	35.249203	31.78854	32.63942	33.5244	31.730099	30.72667	31.160122	32.032085	36.01799	19.78651	26.889053
