"Sample"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3-/CD4-/CD8a+/FoxP3+/CD25+"	"CD3-/CD4-/CD8a+/FoxP3+/CD25-"	"CD3-/CD4-/CD8a+/FoxP3-/CD25-"	"CD3-/CD4+/CD8a+/FoxP3-/CD25+"	"CD3-/CD4+/CD8a+/FoxP3+/CD25+"	"CD3-/CD4+/CD8a+/FoxP3+/CD25-"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	"CD3-/CD4+/CD8a-/FoxP3-/CD25+"	"CD3-/CD4+/CD8a-/FoxP3+/CD25+"	"CD3-/CD4+/CD8a-/FoxP3+/CD25-"	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	"CD3-/CD4-/CD8a-/FoxP3+/CD25+"	"CD3-/CD4-/CD8a-/FoxP3+/CD25-"	"CD3-/CD4-/CD8a-/FoxP3-/CD25-"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4-/CD8a+/FoxP3+/CD25+"	"CD3+/CD4-/CD8a+/FoxP3+/CD25-"	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	"CD3+/CD4+/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3+/CD25+"	"CD3+/CD4+/CD8a+/FoxP3+/CD25-"	"CD3+/CD4+/CD8a+/FoxP3-/CD25-"	"CD3+/CD4+/CD8a-/FoxP3-/CD25+"	"CD3+/CD4+/CD8a-/FoxP3+/CD25+"	"CD3+/CD4+/CD8a-/FoxP3+/CD25-"	"CD3+/CD4+/CD8a-/FoxP3-/CD25-"	"CD3+/CD4-/CD8a-/FoxP3-/CD25+"	"CD3+/CD4-/CD8a-/FoxP3+/CD25+"	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	"CD3+/CD4-/CD8a-/FoxP3-/CD25-"	"tissue"	"pig_num"	"treatment"
"67_cec"	34	0	12	2400	5	3	1	5	0	0	3	33	166	3	556	7868	433	39	64	9113	71	94	78	678	72	33	11	968	95	34	50	2077	"cec"	"67"	"control"
"67_ln"	43	13	51	3464	0	1	10	9	2	2	9	53	851	103	204	21943	179	404	117	12058	150	244	89	1922	135	486	110	16261	475	630	146	26794	"ln"	"67"	"control"
"67_PBMC"	26	1	4	6199	0	1	1	9	3	5	3	126	1576	25	109	35894	165	81	56	6571	195	240	95	3525	116	335	38	10822	545	146	36	7470	"PBMC"	"67"	"control"
"68_cec"	14	1	4	381	0	0	3	14	1	1	12	98	117	5	151	4674	360	7	6	5838	41	40	91	445	64	43	57	1342	81	5	26	979	"cec"	"68"	"control"
"68_ln"	42	11	32	1708	7	9	16	170	4	16	15	254	1292	58	97	31045	107	156	73	18126	149	314	59	2085	239	669	111	24024	314	56	27	7832	"ln"	"68"	"control"
"68_PBMC"	19	2	8	3120	0	1	4	574	1	6	5	150	685	24	121	15549	68	84	55	8563	75	107	74	2206	80	390	80	9165	251	52	33	8892	"PBMC"	"68"	"control"
"69_cec"	697	4	25	4380	60	42	40	511	125	8	39	1034	1849	12	1095	17378	5231	37	57	33421	1838	874	1227	9611	927	151	135	3908	207	17	50	1816	"cec"	"69"	"control"
"69_ln"	85	17	31	2172	7	19	10	75	7	31	19	310	1132	35	144	44423	109	343	103	10131	348	816	165	4300	356	1747	218	28240	597	157	44	8364	"ln"	"69"	"control"
"69_PBMC"	58	4	8	6374	6	2	2	54	6	18	7	172	3223	31	225	50470	361	364	71	9534	459	621	115	4493	301	2289	143	21920	772	215	27	9563	"PBMC"	"69"	"control"
"70_cec"	170	0	14	1803	8	5	1	132	6	1	4	166	351	1	477	7749	1661	11	42	14671	316	213	332	3245	101	26	35	1323	75	6	63	1155	"cec"	"70"	"control"
"70_ln"	67	12	28	1694	7	6	7	37	6	12	8	193	1153	46	133	31869	153	248	79	16450	255	543	143	3202	295	731	138	24501	329	74	33	8012	"ln"	"70"	"control"
"70_PBMC"	49	6	23	9551	3	1	3	66	4	17	45	496	2779	107	335	50205	338	291	108	14618	165	272	133	4532	136	685	130	15428	1071	174	59	13533	"PBMC"	"70"	"control"
"71_cec"	524	2	13	2110	9	7	3	40	20	2	21	225	3719	18	269	10244	5900	31	27	25418	1945	2500	638	9212	1636	280	92	3969	295	8	21	1410	"cec"	"71"	"control"
"71_ln"	100	5	7	1355	6	2	1	30	18	11	9	134	1559	32	21	61121	153	200	65	14018	212	433	92	2603	377	844	157	26218	515	76	33	12419	"ln"	"71"	"control"
"71_PBMC"	50	9	28	4723	3	6	3	35	9	12	36	287	3489	114	554	52320	162	107	106	11544	142	208	103	2075	142	420	138	15621	553	72	61	10051	"PBMC"	"71"	"control"
"72_cec"	224	4	22	2853	8	20	20	112	9	3	7	220	673	3	315	18631	2014	97	102	27855	522	1001	1897	4072	406	285	233	6007	185	40	48	4221	"cec"	"72"	"control"
"72_ln"	36	3	15	1471	3	6	2	43	2	11	4	49	854	37	80	33536	135	336	70	12386	232	499	80	2821	233	965	137	23107	354	226	51	14358	"ln"	"72"	"control"
"72_PBMC"	19	3	4	6591	1	3	3	1018	1	4	4	277	1768	32	115	38202	176	186	86	12191	123	302	89	4419	133	776	110	13608	397	151	78	20603	"PBMC"	"72"	"control"
"73_cec"	201	2	9	1785	5	5	5	64	9	1	3	112	807	9	221	7990	2437	14	22	25698	822	713	766	5196	696	123	122	4294	257	11	59	1709	"cec"	"73"	"control"
"73_ln"	21	3	27	1387	3	2	8	36	8	57	31	465	838	49	158	22365	70	85	86	7574	146	277	131	2029	189	699	314	26193	506	72	48	5220	"ln"	"73"	"control"
"73_PBMC"	39	0	4	1798	0	4	3	18	3	5	4	156	4204	49	119	55131	226	64	61	9562	164	195	127	4597	232	585	180	22935	1417	63	29	8690	"PBMC"	"73"	"control"
"74_cec"	27	0	5	726	1	1	5	21	1	1	22	45	108	1	142	4536	241	29	29	5913	59	115	112	899	64	101	52	3047	85	14	54	1461	"cec"	"74"	"RPS"
"74_ln"	76	11	11	1627	10	6	3	43	9	8	9	91	892	33	51	23973	110	242	63	9364	220	715	111	3607	239	914	155	27506	473	114	49	10416	"ln"	"74"	"RPS"
"74_PBMC"	68	1	9	9699	1	2	3	44	3	2	4	396	1391	21	68	36194	229	131	71	10018	230	401	253	7279	145	805	181	20971	704	113	36	9135	"PBMC"	"74"	"RPS"
"75_cec"	53	0	5	1170	7	2	3	25	3	1	3	74	194	1	214	9157	327	56	14	7464	143	314	225	1738	125	144	66	4498	67	8	27	1255	"cec"	"75"	"RPS"
"75_ln"	26	2	7	888	10	7	3	58	8	1	1	81	435	8	23	24840	103	244	69	18183	221	451	76	3004	218	654	122	22190	177	32	6	5339	"ln"	"75"	"RPS"
"75_PBMC"	45	2	8	9862	1	9	8	1159	3	10	4	409	2940	44	65	50466	280	172	85	18405	166	477	236	6583	154	669	190	15798	903	58	34	8937	"PBMC"	"75"	"RPS"
"76_cec"	20	2	8	454	4	3	4	6	2	0	18	25	222	3	201	5449	71	52	11	2695	92	207	184	730	84	125	64	2943	75	7	43	883	"cec"	"76"	"RPS"
"76_ln"	87	2	10	1916	24	14	3	46	9	7	2	124	780	16	43	32812	139	347	89	15990	478	810	154	3947	270	1121	146	22979	262	55	22	5804	"ln"	"76"	"RPS"
"76_PBMC"	59	1	5	5694	3	3	0	21	5	6	3	249	2300	6	243	50323	320	292	70	13589	456	772	162	4845	253	1633	103	16421	607	99	25	10753	"PBMC"	"76"	"RPS"
"77_cec"	67	0	4	850	3	3	2	11	1	1	2	37	85	1	143	5337	500	43	14	7961	75	102	133	1123	82	140	66	6339	53	12	33	1376	"cec"	"77"	"RPS"
"77_ln"	12	2	1	644	10	2	1	19	4	3	3	60	237	4	6	9954	46	176	58	14544	122	223	59	2277	130	657	126	26798	121	58	21	4711	"ln"	"77"	"RPS"
