group experiment tissue day pig_num treatment design invsimpson shannon sample
FS2D0P67 FS2 feces 0 67 control feces_0_control 2.15188052629352 1.20796675608261 feces_0_67
FS2D0P68 FS2 feces 0 68 control feces_0_control 3.38358173302249 1.73482650300813 feces_0_68
FS2D0P69 FS2 feces 0 69 control feces_0_control 4.0876257967891 2.59843406782381 feces_0_69
FS2D0P70 FS2 feces 0 70 control feces_0_control 9.18107677917986 3.05487922961911 feces_0_70
FS2D0P71 FS2 feces 0 71 control feces_0_control 24.8549692924492 3.65956143005295 feces_0_71
FS2D0P72 FS2 feces 0 72 control feces_0_control 18.8781658449353 3.60647635879599 feces_0_72
FS2D0P73 FS2 feces 0 73 control feces_0_control 4.37019462653458 2.16204602763565 feces_0_73
FS2D0P74 FS2 feces 0 74 RPS feces_0_RPS 3.24933612675514 1.7372520249208 feces_0_74
FS2D0P75 FS2 feces 0 75 RPS feces_0_RPS 2.27887393070358 1.47755331323137 feces_0_75
FS2D0P76 FS2 feces 0 76 RPS feces_0_RPS 1.08664367640293 0.283887183562233 feces_0_76
FS2D0P77 FS2 feces 0 77 RPS feces_0_RPS 1.99239902535172 1.07403310925814 feces_0_77
FS2D0P78 FS2 feces 0 78 RPS feces_0_RPS 2.38542068586217 1.68872988855733 feces_0_78
FS2D0P79 FS2 feces 0 79 RPS feces_0_RPS 2.74167549721608 1.93276000621094 feces_0_79
FS2D0P80 FS2 feces 0 80 RPS feces_0_RPS 1.11901107728046 0.367223381825742 feces_0_80
FS2D0P81 FS2 feces 0 81 control feces_0_control 1.82658577403467 0.963174787495377 feces_0_81
FS2D0P82 FS2 feces 0 82 control feces_0_control 1.73113392715908 1.16422662995402 feces_0_82
FS2D0P83 FS2 feces 0 83 control feces_0_control 3.42475014652256 1.91404580105451 feces_0_83
FS2D0P84 FS2 feces 0 84 control feces_0_control 3.66991348380199 2.22621757189179 feces_0_84
FS2D0P85 FS2 feces 0 85 control feces_0_control 3.83101214685784 2.13148811506061 feces_0_85
FS2D0P86 FS2 feces 0 86 control feces_0_control 4.41326652350274 2.16931855184986 feces_0_86
FS2D0P87 FS2 feces 0 87 control feces_0_control 3.29244435029121 1.74704086456004 feces_0_87
FS2D0P90 FS2 feces 0 90 RPS feces_0_RPS 2.24842621336789 1.65310934293321 feces_0_90
FS2D0P91 FS2 feces 0 91 RPS feces_0_RPS 5.92440743113389 2.48237024011767 feces_0_91
FS2D0P92 FS2 feces 0 92 RPS feces_0_RPS 2.98645230551002 1.99649299737467 feces_0_92
FS2D0P93 FS2 feces 0 93 RPS feces_0_RPS 1.10179900139718 0.31390270555482 feces_0_93
FS2D0P94 FS2 feces 0 94 RPS feces_0_RPS 3.58688600258998 2.05760264260429 feces_0_94
FS2D0P95 FS2 feces 0 95 RPS feces_0_RPS 5.94736960990265 2.37925298688383 feces_0_95
FS2D0P96 FS2 feces 0 96 RPS feces_0_RPS 1.53769982912278 1.07999892546499 feces_0_96
FS2D21P67 FS2 feces 21 67 control feces_21_control 2.57039950016539 1.50587719902767 feces_21_67
FS2D21P68 FS2 feces 21 68 control feces_21_control 4.86300567672543 2.11128267970019 feces_21_68
FS2D21P69 FS2 feces 21 69 control feces_21_control 4.27611915345674 1.85321087143156 feces_21_69
FS2D21P70 FS2 feces 21 70 control feces_21_control 4.21477495936858 2.05734208928064 feces_21_70
FS2D21P71 FS2 feces 21 71 control feces_21_control 7.8032126133602 2.51998381785556 feces_21_71
FS2D21P72 FS2 feces 21 72 control feces_21_control 4.99458477510581 2.04787552018255 feces_21_72
