sample day pigNumbers treatment set
FS2D0P67 D0 67 control D0control
FS2D0P68 D0 68 control D0control
FS2D0P69 D0 69 control D0control
FS2D0P70 D0 70 control D0control
FS2D0P71 D0 71 control D0control
FS2D0P72 D0 72 control D0control
FS2D0P73 D0 73 control D0control
FS2D0P74 D0 74 RS D0RS
FS2D0P75 D0 75 RS D0RS
FS2D0P76 D0 76 RS D0RS
FS2D0P77 D0 77 RS D0RS
FS2D0P78 D0 78 RS D0RS
FS2D0P79 D0 79 RS D0RS
FS2D0P80 D0 80 RS D0RS
FS2D0P81 D0 81 control D0control
FS2D0P82 D0 82 control D0control
FS2D0P83 D0 83 control D0control
FS2D0P84 D0 84 control D0control
FS2D0P85 D0 85 control D0control
FS2D0P86 D0 86 control D0control
FS2D0P87 D0 87 control D0control
FS2D0P90 D0 90 RS D0RS
FS2D0P91 D0 91 RS D0RS
FS2D0P92 D0 92 RS D0RS
FS2D0P93 D0 93 RS D0RS
FS2D0P94 D0 94 RS D0RS
FS2D0P95 D0 95 RS D0RS
FS2D0P96 D0 96 RS D0RS
FS2D21P67 D21 67 control D21control
FS2D21P68 D21 68 control D21control
FS2D21P69 D21 69 control D21control
FS2D21P70 D21 70 control D21control
FS2D21P71 D21 71 control D21control
FS2D21P72 D21 72 control D21control
FS2D21P73 D21 73 control D21control
FS2D21P74 D21 74 RS D21RS
FS2D21P75 D21 75 RS D21RS
FS2D21P76 D21 76 RS D21RS
FS2D21P77 D21 77 RS D21RS
FS2D21P78 D21 78 RS D21RS
FS2D21P79 D21 79 RS D21RS
FS2D21P80 D21 80 RS D21RS
FS2D21P81 D21 81 control D21control
FS2D21P82 D21 82 control D21control
FS2D21P83 D21 83 control D21control
FS2D21P84 D21 84 control D21control
FS2D21P85 D21 85 control D21control
FS2D21P86 D21 86 control D21control
FS2D21P87 D21 87 control D21control
FS2D21P90 D21 90 RS D21RS
FS2D21P91 D21 91 RS D21RS
FS2D21P92 D21 92 RS D21RS
FS2D21P93 D21 93 RS D21RS
FS2D21P94 D21 94 RS D21RS
FS2D21P95 D21 95 RS D21RS
FS2D21P96 D21 96 RS D21RS
