baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newp	Treatment	name	tissue	otu
Otu026	2416.29402979767	-7.75214556043089	2.50888810486545	-3.08987297815207	0.0020024211235079	0.0305369221334955	3.1e-02	Control	Roseburia intestinalis CAG:13 89.286	D12_feces	Otu026
Otu035	105.710820490716	-4.75773341796947	1.4557694321061	-3.26819159204787	0.00108237068453556	0.0231562309833629	2.3e-02	Control	uncultured Clostridium sp. 100	D12_feces	Otu035
Otu067	12.4788764043167	6.24421048440856	1.31838572833607	4.73625461062094	2.17704054816227e-06	0.000265598946875797	0.0e+00	RPS	Clostridium sp. CAG:167 100	D12_feces	Otu067
Otu082	72.4410221946599	-9.95458676749749	2.41728776120444	-4.11808098616173	3.82040446948584e-05	0.00233044672638636	2.0e-03	Control	Pseudobutyrivibrio sp. JW11 91.071	D12_feces	Otu082
Otu098	64.7486426017768	-7.18966102084865	2.27184988769181	-3.16467256916931	0.00155257562242767	0.0270591751337394	2.7e-02	Control	Clostridium sp. CAG:62_40_43 95.536	D12_feces	Otu098
Otu203	154.197169674927	-9.51605500796225	2.92462135430308	-3.25377334538059	0.00113883103196867	0.0231562309833629	2.3e-02	Control	uncultured Flavonifractor sp. 90.179	D12_feces	Otu203
Otu231	137.96470368254	-9.91728507779991	2.92868736140787	-3.38625597545259	0.000708532598139827	0.0231562309833629	2.3e-02	Control	Roseburia hominis 94.643	D12_feces	Otu231
Otu380	126.283470159076	-9.76888933167807	2.92897108121104	-3.33526315583796	0.000852187125580192	0.0231562309833629	2.3e-02	Control	Ruminococcus gauvreauii 86.607	D12_feces	Otu380
Otu007	1330.9477565112	2.78650631914642	0.837132613261491	3.3286318977469	0.000872736691509994	0.0219039692511982	2.2e-02	RPS	Roseburia sp. CAG:197 100	D15_feces	Otu007
Otu020	53.3889903541905	5.20413359898683	1.73415143776913	3.00096836161069	0.00269122525635603	0.0457508293580525	4.6e-02	RPS	Lachnospiraceae bacterium V9D3004 88.393	D15_feces	Otu020
