pig_num	formate	acetate	propionate	isobutyrate	butyrate	lactate1	lactate2	isovalerate	valerate	caproate	heptanoate	oxalate	phenylacetate	succinate	fumarate	tissue
67	0	4.94981	0.20493	0	0.21494	2.7846	6.14703	0	0	-0.00667	0	0	0	0.19439	0	portal
68	0.39938	4.37594	0.1792	0	0.19863	1.23515	3.42365	0	0	-0.00991	0	0	0	0	0	portal
69	0.69997	6.25249	0	0	0.218	1.75036	3.72901	0	0	-0.004	0	0	0	0	0	portal
70	0	4.28495	0.17387	0	0.27638	1.494	3.92075	0	0	-0.00668	0	0	0	0	0	portal
71	0.51489	5.63212	0.26833	0	0.37599	4.41937	7.60788	0	0.16303	0.00051	0	0	0	0.34643	0	portal
72	0	4.56917	0.194	0	0.20843	2.18707	5.37422	0	0.11182	-0.00506	0	0	0	0.10834	0	portal
73	0.66858	5.16467	0	0	0.21934	3.1846	7.39448	0	0	-0.0033	0	0	0	0.25891	0	portal
74	0	5.58939	0.39958	0	0.4143	1.83981	5.25657	0	0.10576	-0.00326	0	0	0	0.14237	0	portal
75	0	4.24267	0.16986	0	0.3502	3.59458	8.56188	0	0	-0.00163	0	0	0	0.65449	0	portal
76	0	4.69571	0.24985	0	0.30176	6.66106	2.49852	0	0.0911	0.00457	0	0	0	0.35796	0	portal
77	0	4.79798	0.30482	0	0.33318	1.63599	3.99346	0	0.0908	0.00556	0	0	0	0.1082	0	portal
78	0	5.59571	0.34705	0	0.39613	3.96224	6.87331	0	0.09671	0.00956	0	0	0	0.43361	0	portal
79	0.78568	5.22497	0.1601	0	0.39842	2.52423	6.17053	0	0	-0.00559	0	0	0	0.1356	0	portal
80	0.44018	5.03158	0	0	0.10127	3.93639	8.65989	0	0	-0.00848	0	0	0	0.24862	0	portal
67	0.43342	20.93533	10.04897	0.81196	4.80007	0	0.75799	1.24841	1.7713	0.29669	0	0	0.36218	0.35387	0.07342	feces
68	0.40717	20.77832	6.17205	0.95403	3.46884	0	0.70549	1.22982	0.88425	0.01983	0	0.09738	0.36481	0.41967	0	feces
69	0.39826	23.78269	10.3274	1.52153	5.83032	0	0.68701	2.19875	2.18082	0.09137	0	0.10515	0.6275	0.26598	0	feces
70	0	17.67683	8.11731	1.00825	3.81495	0	0.42075	1.37131	1.29547	0.07583	0	0	0.43403	0.23012	0.17012	feces
72	0.32722	21.67751	10.10813	0.7225	3.43814	0	0.85446	0.92051	1.99807	0.09103	0	0.07901	0.28299	0.72166	0.04587	feces
73	0.39836	17.12558	6.8371	0.69222	2.81667	0	0.22591	0.8693	1.26865	0.07677	0	0.12413	0.30062	0.125	0	feces
81	0.41148	19.82833	7.73325	0.8744	2.85402	0	0.58244	1.11471	1.37843	0.09208	0	0.20964	0.37542	0.18055	0	feces
82	0	20.5452	9.34934	0.50329	3.40751	0	1.22415	0.58533	0.86157	0.01057	0	0	0.22304	0.21678	0	feces
83	0	21.34773	9.47839	0.6894	4.06218	0	0.87274	0.97465	1.7374	0.27183	0	0.09896	0.32453	0.23795	0	feces
84	0.5552	19.51607	11.64593	0.83322	3.75196	0	0.82332	1.04144	0.67323	0.00774	0	0	0.26518	0.13922	0	feces
85	0.37469	22.08605	8.88548	0.809	3.80001	0	0.70204	1.14592	1.05245	0.05502	0	0.16456	0.35922	0.3208	0	feces
86	0.35794	26.86346	12.69418	1.23722	6.9007	0	0.77553	2.26407	3.95291	0.66386	0	0	0.72809	0.32953	0	feces
87	0.39292	30.04147	16.77699	1.20743	9.22169	0	0.48732	1.90176	3.63617	0.20801	0	0.14098	0.535	0.4444	0	feces
74	0.46775	19.96675	7.21757	0.31478	2.7861	0.23952	0.65969	0.42491	1.0844	0.13359	0	0.11252	0.13468	0.26812	0.06355	feces
75	0	24.27158	10.74078	1.11727	8.49642	0	0.13536	1.7597	2.85122	0.3422	0	0.07645	0.51787	0.32931	0.05411	feces
76	0	19.09201	9.33884	0.49793	7.86081	0	0.63631	0.76307	2.61026	1.69437	0	0	0.24311	0.15982	0	feces
77	0	21.67923	10.27592	1.22121	5.87639	0	0.68756	2.01225	2.05792	0.2225	0	0.09072	0.65975	0.57708	0	feces
78	0.37462	24.46051	9.74948	0.67473	7.15165	0	0.73693	0.92616	2.27229	1.0283	0	0.09246	0.25444	0.18206	0.06181	feces
79	0	25.50251	11.15242	1.1412	7.37024	0	0.21275	1.62071	2.81231	0.77412	0	0	0.48986	0.20396	0.05697	feces
80	0.51842	35.54526	11.99344	0.25352	7.99098	0.30093	0.8898	0.25083	3.90043	0.40543	0	0.09273	0.0545	0.24627	0	feces
90	0.43682	26.95275	13.49213	1.61571	9.09039	0	0.46854	2.64575	2.92595	0.2585	0	0.14171	0.81497	0.41614	0.06637	feces
91	0	22.57066	10.54989	0.51854	6.69969	0	0.44753	0.55343	1.70197	0.12237	0	0	0.16615	0.21369	0	feces
92	0.3358	26.59592	12.77875	0.73455	7.46983	0	0.67866	0.98198	3.33777	1.54059	0	0	0.29927	0.2685	0	feces
93	0.47017	23.91302	11.66061	0.42024	2.47415	0	0.26266	0.45567	1.94064	0.23228	0	0.07239	0.13597	0.41995	0.05536	feces
94	0	20.98313	9.75406	0.64037	5.65865	0	0.42669	0.8174	1.53453	0.1476	0	0.08063	0.29311	0.35427	0	feces
95	0	24.0575	11.94518	0.44391	6.139	0	0.27743	0.47055	2.46922	0.33973	0	0.15185	0.13355	0.28739	0	feces
96	0	24.32313	10.69051	0.45687	3.64351	0	0.32746	0.51165	2.49362	1.10553	0	0.0751	0.14625	0.19483	0.05211	feces
