pig_num,AvDailyGain,IgA+,IgA-,ng IgA/mg dry contents
67,0.338095238,27.8,72.2,8.085657791
68,0.304761905,49.2,50.8,10.09317715
69,0.114285714,70.1,29.9,10.71586998
70,0.29047619,45.1,54,9.735024911
71,0.214285714,42.4,57.6,7.725336156
72,0.347619048,39.3,60.7,9.294671181
73,0.2,60.7,39.9,7.90610074
74,0.257142857,51.4,48.6,10.97679865
75,0.304761905,48.9,51.1,14.02792508
76,0.161904762,66.8,33.2,16.63757491
77,0.171428571,70.8,29.2,8.904155533
78,0.314285714,51.9,48.1,16.13857693
79,0.295238095,39.3,60.7,6.834279706
80,0.342857143,26.7,73.3,16.25325144
