sample	location	treatment	day	number	line	formate	acetate	propionate	isobutyrate	butyrate	lactate1	lactate2	isovalerate	valerate	caproate	heptanoate	oxalate	phenylacetate	succinate	fumarate	group	total	totLactate	BVFA
67C	colon	control	21	67	7	0	87.88356	46.24377	0.33918	17.01345	4.68504	11.10177	0.37761	3.44736	0.22887	120	0.42576	0.24309	0.71403	0	control colon 21	172.70349	15.78681	0.71679
67X	cecum	control	21	67	6	0	51.6567	26.9517	0	9.48114	1.32852	3.891	0	1.76259	0.08766	120	0.2319	0	0.29475	0	control cecum 21	95.68596	5.21952	0
68C	colon	control	21	68	9	0	80.49162	38.77614	0.8055	21.31191	0	0.26481	0.58173	2.62599	0.18069	120	0.31245	0.23697	0.30003	0	control colon 21	145.88784	0.26481	1.38723
68X	cecum	control	21	68	8	0	47.27016	24.9519	0.23025	12.32064	0	0	0.20634	1.35123	0.0633	120	0	0	0.26442	0	control cecum 21	86.65824	0	0.43659
69C	colon	control	21	69	11	0	65.80296	34.22208	0.71142	12.58374	0	0	0.6396	2.71761	0.0822	120	0.24519	0.26595	0.27861	0	control colon 21	117.54936	0	1.35102
69X	cecum	control	21	69	10	0	77.2077	44.78331	0.67683	22.83465	0.69717	1.08507	0.63519	5.47467	0.13221	120	0.27885	0.29121	0.34983	0	control cecum 21	154.44669	1.78224	1.31202
70C	colon	control	21	70	13	0	71.57175	39.86862	0.82443	26.93394	0	0	1.00467	6.73848	0.33648	120	0.25791	0.40542	0.6219	0	control colon 21	148.5636	0	1.8291
70X	cecum	control	21	70	12	0	67.84737	40.11537	0	29.20695	0	0	0	6.27924	0.26067	120	0.23358	0	0.34173	0	control cecum 21	144.28491	0	0
71C	colon	control	21	71	15	0	61.98432	38.15583	0.39009	21.9774	0	0	0.38421	10.11393	0.33336	120	0.23901	0	0.47502	0	control colon 21	134.05317	0	0.7743
71X	cecum	control	21	71	14	0	63.21459	38.99412	0.40296	22.51398	0	0	0.39348	10.31001	0.33555	120	0.2448	0	0.45849	0	control cecum 21	136.86798	0	0.79644
72C	colon	control	21	72	17	1.19154	59.24604	38.03481	0.30363	22.2912	0	0.32655	0.26118	12.68481	0.41217	120	0.66498	0.13464	0.47718	0	control colon 21	136.02873	0.32655	0.56481
72X	cecum	control	21	72	16	1.46853	52.11138	36.5526	0.31161	22.78215	0	0	0.29769	12.24444	0.34989	120	0.4161	0	0.37428	0	control cecum 21	126.90867	0	0.6093
73C	colon	control	21	73	19	0	73.06242	40.52412	0.23097	17.23848	10.34754	27.31881	0.19983	4.41567	0.22545	120	0.40914	0.11211	0.48987	0	control colon 21	174.57441	37.66635	0.4308
73X	cecum	control	21	73	18	0	76.63566	42.6738	0.24309	18.11949	11.82915	28.61943	0.21129	4.66962	0.24195	120	0.41754	0	0.47634	0	control cecum 21	184.13736	40.44858	0.45438
74C	colon	RS	21	74	21	2.21271	60.22347	27.34941	0	18.78411	4.84011	14.55717	0	4.75146	0.28836	120	0.59616	0	1.08789	0	RS colon 21	134.69085	19.39728	0
74X	cecum	RS	21	74	20	1.29471	64.98285	26.65032	0	24.15105	2.59458	8.9085	0	6.05505	0.3378	120	0.51429	0	1.15131	0	RS cecum 21	136.64046	11.50308	0
75C	colon	RS	21	75	23	1.05327	85.79943	32.12922	0.5577	33.46959	0.9273	2.25816	0.54486	6.50256	0.54453	120	0.5616	0.30993	0.38442	0	RS colon 21	165.04257	3.18546	1.10256
75X	cecum	RS	21	75	22	0	77.18391	30.54978	0.31671	27.97116	0.45594	0.96429	0.28653	4.16286	0.35277	120	0.41517	0	0.62019	0	RS cecum 21	143.27931	1.42023	0.60324
76C	colon	RS	21	76	25	1.21953	59.86959	34.00425	0.29613	29.34681	7.10133	14.37567	0.24672	11.45475	1.31493	120	0.49104	0.15486	0.82188	0	RS colon 21	160.69749	21.477	0.54285
76X	cecum	RS	21	76	24	0	61.63017	34.76847	0.26769	34.49028	2.02803	3.75537	0.20469	13.88703	1.1961	120	0.27342	0	0.65205	0	RS cecum 21	153.1533	5.7834	0.47238
77C	colon	RS	21	77	27	1.29954	72.80841	30.16242	0.30306	26.19735	3.62415	9.06984	0.27846	4.94637	0.49338	120	0.63483	0.18615	0.56871	0	RS colon 21	150.57267	12.69399	0.58152
77X	cecum	RS	21	77	26	1.39518	73.65135	30.18027	0	27.84822	4.22973	10.87464	0	4.69701	0.34725	120	0.60507	0.19614	0.43101	0	RS cecum 21	154.45587	15.10437	0
78C	colon	RS	21	78	29	0	70.82907	34.93539	0.31014	26.57328	6.86838	14.65158	0.312	6.69084	0.93048	120	0.45597	0.24897	0.37545	0	RS colon 21	163.18155	21.51996	0.62214
78X	cecum	RS	21	78	28	1.35639	69.23247	34.28826	0.28311	25.57107	7.57719	15.66111	0.27549	6.38313	0.7866	120	0.45492	0.24036	0.35748	0	RS cecum 21	162.46758	23.2383	0.5586
79C	colon	RS	21	79	31	0	79.14624	39.73758	0.44214	27.53982	4.23012	9.72957	0.46683	6.71412	0.38883	120	0.45894	0.32964	0.43332	0	RS colon 21	169.61715	13.95969	0.90897
79X	cecum	RS	21	79	30	0	74.74464	38.2026	0.22017	23.68134	4.20048	10.6701	0.22509	4.88586	0.21786	120	0.44379	0	0.2718	0	RS cecum 21	157.76373	14.87058	0.44526
80C	colon	RS	21	80	33	0.94056	56.42271	29.60391	0.22119	19.41318	3.62772	8.54787	0.22476	8.03808	0.50721	120	0.33204	0	0.62862	0	RS colon 21	128.50785	12.17559	0.44595
80X	cecum	RS	21	80	32	0	61.73322	31.24107	0.25092	20.10966	0.79515	3.20781	0.26391	8.48331	0.52419	120	0.3	0	0.56835	0	RS cecum 21	127.47759	4.00296	0.51483
81C	colon	control	42	81	35	0	81.96285	35.91831	1.6392	19.99311	3.12831	4.06065	2.15349	6.58446	0.29781	120	0.92232	0.98148	1.22871	0	control colon 42	158.8707	7.18896	3.79269
81X	cecum	control	42	81	34	5.7474	84.09519	37.16511	0.97941	16.80603	4.60215	11.10183	1.09011	5.01267	0.21345	120	0.78642	0.96762	0.97332	0	control cecum 42	169.54071	15.70398	2.06952
82C	colon	control	42	82	37	3.96957	48.17853	20.29524	0.7572	5.65479	10.93956	26.77515	0.84063	2.10111	0.1542	120	0.59052	0.74889	0.68628	0	control colon 42	121.69167	37.71471	1.59783
83C	colon	control	42	83	39	0	75.30819	46.2084	0.62121	20.43819	0	0	0.65934	5.09787	0.50493	120	0.27732	0.24141	0.76266	0	control colon 42	150.11952	0	1.28055
