group	experiment	tissue	day	pig_num	treatment	num_seqs	design	treatXday
X2P67N4ACD21	FS2	colon	21	67	control	60056	FS2_colon_21_control	control_day_21
X2P67N4AFD0	FS2	feces	0	67	control	14592	FS2_feces_0_control	control_day_0
X2P67N4AFD12	FS2	feces	12	67	control	23721	FS2_feces_12_control	control_day_12
X2P67N4AFD15	FS2	feces	15	67	control	20983	FS2_feces_15_control	control_day_15
X2P67N4AFD19	FS2	feces	19	67	control	21445	FS2_feces_19_control	control_day_19
X2P67N4AFD21	FS2	feces	21	67	control	17021	FS2_feces_21_control	control_day_21
X2P67N4AMD21	FS2	cec_cont_DNA	21	67	control	38	FS2_cec_cont_DNA_21_control	control_day_21
X2P67N4AUD21	FS2	cec_cont_RNA	21	67	control	27816	FS2_cec_cont_RNA_21_control	control_day_21
X2P67N4AXD21	FS2	cecum	21	67	control	39206	FS2_cecum_21_control	control_day_21
X2P67N4AiD21	FS2	ileum	21	67	control	1249	FS2_ileum_21_control	control_day_21
X2P68N4ACD21	FS2	colon	21	68	control	52866	FS2_colon_21_control	control_day_21
X2P68N4AFD0	FS2	feces	0	68	control	11040	FS2_feces_0_control	control_day_0
X2P68N4AFD12	FS2	feces	12	68	control	18335	FS2_feces_12_control	control_day_12
X2P68N4AFD15	FS2	feces	15	68	control	20097	FS2_feces_15_control	control_day_15
X2P68N4AFD19	FS2	feces	19	68	control	21518	FS2_feces_19_control	control_day_19
X2P68N4AFD21	FS2	feces	21	68	control	5260	FS2_feces_21_control	control_day_21
X2P68N4AMD21	FS2	cec_cont_DNA	21	68	control	3	FS2_cec_cont_DNA_21_control	control_day_21
X2P68N4AUD21	FS2	cec_cont_RNA	21	68	control	25728	FS2_cec_cont_RNA_21_control	control_day_21
X2P68N4AXD21	FS2	cecum	21	68	control	45414	FS2_cecum_21_control	control_day_21
X2P68N4AiD21	FS2	ileum	21	68	control	6964	FS2_ileum_21_control	control_day_21
X2P69N4ACD21	FS2	colon	21	69	control	60926	FS2_colon_21_control	control_day_21
X2P69N4AFD0	FS2	feces	0	69	control	35547	FS2_feces_0_control	control_day_0
X2P69N4AFD12	FS2	feces	12	69	control	19889	FS2_feces_12_control	control_day_12
X2P69N4AFD15	FS2	feces	15	69	control	9889	FS2_feces_15_control	control_day_15
X2P69N4AFD19	FS2	feces	19	69	control	20761	FS2_feces_19_control	control_day_19
X2P69N4AFD21	FS2	feces	21	69	control	15004	FS2_feces_21_control	control_day_21
X2P69N4AMD21	FS2	cec_cont_DNA	21	69	control	1	FS2_cec_cont_DNA_21_control	control_day_21
X2P69N4AUD21	FS2	cec_cont_RNA	21	69	control	25979	FS2_cec_cont_RNA_21_control	control_day_21
X2P69N4AXD21	FS2	cecum	21	69	control	40351	FS2_cecum_21_control	control_day_21
X2P69N4AiD21	FS2	ileum	21	69	control	7195	FS2_ileum_21_control	control_day_21
X2P70N4ACD21	FS2	colon	21	70	control	60379	FS2_colon_21_control	control_day_21
X2P70N4AFD0	FS2	feces	0	70	control	15299	FS2_feces_0_control	control_day_0
X2P70N4AFD12	FS2	feces	12	70	control	18602	FS2_feces_12_control	control_day_12
X2P70N4AFD15	FS2	feces	15	70	control	20221	FS2_feces_15_control	control_day_15
X2P70N4AFD19	FS2	feces	19	70	control	27249	FS2_feces_19_control	control_day_19
X2P70N4AFD21	FS2	feces	21	70	control	19056	FS2_feces_21_control	control_day_21
X2P70N4AMD21	FS2	cec_cont_DNA	21	70	control	14	FS2_cec_cont_DNA_21_control	control_day_21
X2P70N4AUD21	FS2	cec_cont_RNA	21	70	control	34742	FS2_cec_cont_RNA_21_control	control_day_21
X2P70N4AXD21	FS2	cecum	21	70	control	40169	FS2_cecum_21_control	control_day_21
X2P70N4AiD21	FS2	ileum	21	70	control	674	FS2_ileum_21_control	control_day_21
X2P71N4AFD0	FS2	feces	0	71	control	9470	FS2_feces_0_control	control_day_0
X2P71N4AFD21	FS2	feces	21	71	control	4446	FS2_feces_21_control	control_day_21
X2P71N4AMD21	FS2	cec_cont_DNA	21	71	control	74	FS2_cec_cont_DNA_21_control	control_day_21
X2P71N4AUD21	FS2	cec_cont_RNA	21	71	control	34793	FS2_cec_cont_RNA_21_control	control_day_21
X2P71N4BCD21	FS2	colon	21	71	control	33769	FS2_colon_21_control	control_day_21
X2P71N4BFD12	FS2	feces	12	71	control	15966	FS2_feces_12_control	control_day_12
X2P71N4BFD15	FS2	feces	15	71	control	22827	FS2_feces_15_control	control_day_15
X2P71N4BFD19	FS2	feces	19	71	control	7334	FS2_feces_19_control	control_day_19
X2P71N4BXD21	FS2	cecum	21	71	control	32300	FS2_cecum_21_control	control_day_21
X2P71N4BiD21	FS2	ileum	21	71	control	1106	FS2_ileum_21_control	control_day_21
X2P72N4AFD0	FS2	feces	0	72	control	16932	FS2_feces_0_control	control_day_0
X2P72N4AFD21	FS2	feces	21	72	control	4304	FS2_feces_21_control	control_day_21
X2P72N4AMD21	FS2	cec_cont_DNA	21	72	control	17	FS2_cec_cont_DNA_21_control	control_day_21
X2P72N4AUD21	FS2	cec_cont_RNA	21	72	control	30444	FS2_cec_cont_RNA_21_control	control_day_21
X2P72N4BCD21	FS2	colon	21	72	control	30929	FS2_colon_21_control	control_day_21
X2P72N4BFD12	FS2	feces	12	72	control	17802	FS2_feces_12_control	control_day_12
X2P72N4BFD15	FS2	feces	15	72	control	28364	FS2_feces_15_control	control_day_15
X2P72N4BFD19	FS2	feces	19	72	control	11068	FS2_feces_19_control	control_day_19
X2P72N4BXD21	FS2	cecum	21	72	control	38272	FS2_cecum_21_control	control_day_21
X2P72N4BiD21	FS2	ileum	21	72	control	1179	FS2_ileum_21_control	control_day_21
X2P73N4AFD0	FS2	feces	0	73	control	13592	FS2_feces_0_control	control_day_0
X2P73N4AFD21	FS2	feces	21	73	control	33341	FS2_feces_21_control	control_day_21
X2P73N4AMD21	FS2	cec_cont_DNA	21	73	control	16	FS2_cec_cont_DNA_21_control	control_day_21
X2P73N4AUD21	FS2	cec_cont_RNA	21	73	control	29573	FS2_cec_cont_RNA_21_control	control_day_21
X2P73N4BCD21	FS2	colon	21	73	control	31333	FS2_colon_21_control	control_day_21
X2P73N4BFD12	FS2	feces	12	73	control	16348	FS2_feces_12_control	control_day_12
X2P73N4BFD15	FS2	feces	15	73	control	24596	FS2_feces_15_control	control_day_15
X2P73N4BFD19	FS2	feces	19	73	control	17231	FS2_feces_19_control	control_day_19
X2P73N4BXD21	FS2	cecum	21	73	control	31441	FS2_cecum_21_control	control_day_21
X2P73N4BiD21	FS2	ileum	21	73	control	11607	FS2_ileum_21_control	control_day_21
X2P74N5ACD21	FS2	colon	21	74	RPS	37842	FS2_colon_21_RPS	RPS_day_21
X2P74N5AFD0	FS2	feces	0	74	RPS	14936	FS2_feces_0_RPS	RPS_day_0
X2P74N5AFD12	FS2	feces	12	74	RPS	19465	FS2_feces_12_RPS	RPS_day_12
X2P74N5AFD15	FS2	feces	15	74	RPS	27888	FS2_feces_15_RPS	RPS_day_15
X2P74N5AFD19	FS2	feces	19	74	RPS	27178	FS2_feces_19_RPS	RPS_day_19
X2P74N5AFD21	FS2	feces	21	74	RPS	25350	FS2_feces_21_RPS	RPS_day_21
X2P74N5AMD21	FS2	cec_cont_DNA	21	74	RPS	54	FS2_cec_cont_DNA_21_RPS	RPS_day_21
X2P74N5AUD21	FS2	cec_cont_RNA	21	74	RPS	22072	FS2_cec_cont_RNA_21_RPS	RPS_day_21
X2P74N5AXD21	FS2	cecum	21	74	RPS	34774	FS2_cecum_21_RPS	RPS_day_21
X2P74N5AiD21	FS2	ileum	21	74	RPS	6459	FS2_ileum_21_RPS	RPS_day_21
X2P75N5ACD21	FS2	colon	21	75	RPS	44308	FS2_colon_21_RPS	RPS_day_21
X2P75N5AFD0	FS2	feces	0	75	RPS	11265	FS2_feces_0_RPS	RPS_day_0
X2P75N5AFD12	FS2	feces	12	75	RPS	19947	FS2_feces_12_RPS	RPS_day_12
X2P75N5AFD15	FS2	feces	15	75	RPS	24789	FS2_feces_15_RPS	RPS_day_15
X2P75N5AFD19	FS2	feces	19	75	RPS	25660	FS2_feces_19_RPS	RPS_day_19
X2P75N5AFD21	FS2	feces	21	75	RPS	49488	FS2_feces_21_RPS	RPS_day_21
X2P75N5AUD21	FS2	cec_cont_RNA	21	75	RPS	24899	FS2_cec_cont_RNA_21_RPS	RPS_day_21
X2P75N5AXD21	FS2	cecum	21	75	RPS	37598	FS2_cecum_21_RPS	RPS_day_21
X2P75N5AiD21	FS2	ileum	21	75	RPS	33465	FS2_ileum_21_RPS	RPS_day_21
X2P76N5ACD21	FS2	colon	21	76	RPS	38335	FS2_colon_21_RPS	RPS_day_21
X2P76N5AFD0	FS2	feces	0	76	RPS	16271	FS2_feces_0_RPS	RPS_day_0
X2P76N5AFD12	FS2	feces	12	76	RPS	14793	FS2_feces_12_RPS	RPS_day_12
X2P76N5AFD15	FS2	feces	15	76	RPS	12813	FS2_feces_15_RPS	RPS_day_15
X2P76N5AFD19	FS2	feces	19	76	RPS	24403	FS2_feces_19_RPS	RPS_day_19
X2P76N5AFD21	FS2	feces	21	76	RPS	25148	FS2_feces_21_RPS	RPS_day_21
X2P76N5AMD21	FS2	cec_cont_DNA	21	76	RPS	2	FS2_cec_cont_DNA_21_RPS	RPS_day_21
X2P76N5AUD21	FS2	cec_cont_RNA	21	76	RPS	21805	FS2_cec_cont_RNA_21_RPS	RPS_day_21
